,epoch,train_loss,test_loss,train_acc,test_acc
0,1,1.3441,1.0640,0.37,0.5420
1,2,1.0876,0.9357,0.55,0.6405
2,3,0.9348,0.7698,0.66,0.7281
3,4,0.7745,0.6427,0.72,0.7555
4,5,0.6242,0.5702,0.80,0.7956
5,6,0.5082,0.4850,0.83,0.8193
6,7,0.4149,0.4394,0.87,0.8431
7,8,0.3356,0.4344,0.91,0.8504
8,9,0.2697,0.4055,0.93,0.8467
9,10,0.2435,0.3880,0.93,0.8686
10,11,0.2053,0.4043,0.95,0.8558
11,12,0.1970,0.4127,0.95,0.8449
12,13,0.1757,0.3548,0.95,0.8704
13,14,0.1664,0.4097,0.95,0.8577
14,15,0.1513,0.4558,0.96,0.8321
15,16,0.1369,0.3922,0.96,0.8650
16,17,0.1060,0.4282,0.97,0.8613
17,18,0.1064,0.4410,0.97,0.8613
18,19,0.1280,0.4356,0.96,0.8668
19,20,0.1213,0.5457,0.96,0.8449
20,21,0.1237,0.4252,0.96,0.8540
21,22,0.1348,0.4471,0.96,0.8723
22,23,0.1468,0.5040,0.95,0.8431
23,24,0.1391,0.4563,0.95,0.8540
24,25,0.1127,0.4243,0.97,0.8303
25,26,0.1127,0.4409,0.96,0.8759
26,27,0.1021,0.3830,0.97,0.8850
27,28,0.0803,0.4240,0.98,0.8741
28,29,0.0671,0.4692,0.98,0.8905
29,30,0.0832,0.5483,0.98,0.8303
30,31,0.1041,0.5208,0.97,0.8485
31,32,0.0980,0.4581,0.97,0.8850
32,33,0.1137,0.4052,0.97,0.8796
33,34,0.0781,0.5352,0.98,0.8723
34,35,0.0757,0.5214,0.98,0.8759
35,36,0.0755,0.4521,0.98,0.8869
36,37,0.0746,0.5472,0.98,0.8668
37,38,0.0762,0.5675,0.98,0.8686
38,39,0.0857,0.4960,0.98,0.8741
39,40,0.0776,0.3729,0.98,0.8942
40,41,0.0722,0.4883,0.98,0.8613
41,42,0.0858,0.4272,0.97,0.8777
42,43,0.0733,0.4899,0.98,0.8613
43,44,0.0785,0.4619,0.98,0.8777
44,45,0.0652,0.4624,0.98,0.8850
45,46,0.0589,0.4724,0.99,0.9015
46,47,0.0826,0.5584,0.97,0.8540
47,48,0.0669,0.5849,0.98,0.8650
48,49,0.0711,0.6376,0.98,0.8595
49,50,0.0867,0.5842,0.97,0.8613
50,51,0.0624,0.5108,0.98,0.8723
51,52,0.0389,0.4877,0.99,0.9033
52,53,0.0482,0.5625,0.99,0.8796
53,54,0.0435,0.5099,0.99,0.8832
54,55,0.0410,0.5668,0.99,0.8741
55,56,0.0746,0.5294,0.98,0.8796
56,57,0.0572,0.5226,0.98,0.8777
57,58,0.0391,0.5908,0.99,0.8832
58,59,0.0357,0.5817,0.99,0.8796
59,60,0.0304,0.5434,0.99,0.8759
60,61,0.0651,0.5051,0.98,0.8905
61,62,0.0645,0.4927,0.98,0.8741
62,63,0.0635,0.5065,0.99,0.8832
63,64,0.0490,0.4560,0.99,0.8887
64,65,0.0389,0.5079,0.99,0.8996
65,66,0.0560,0.5393,0.99,0.8777
66,67,0.0754,0.5028,0.98,0.8777
67,68,0.0500,0.5996,0.99,0.8777
68,69,0.0365,0.5116,0.99,0.8996
69,70,0.0425,0.5086,0.99,0.8814
70,71,0.0391,0.6054,0.99,0.8686
71,72,0.0385,0.6173,0.99,0.8905
72,73,0.0409,0.5562,0.99,0.8723
73,74,0.0364,0.5648,0.99,0.8814
74,75,0.0409,0.7554,0.99,0.8668
75,76,0.0797,0.5564,0.98,0.8905
76,77,0.0477,0.5708,0.99,0.8869
77,78,0.0414,0.6887,0.99,0.8777
78,79,0.0450,0.5678,0.99,0.8960
79,80,0.0353,0.5880,0.99,0.8723
80,81,0.0517,0.6040,0.99,0.8850
81,82,0.0387,0.6069,0.99,0.8923
82,83,0.0238,0.5826,1.00,0.8777
83,84,0.0205,0.5948,1.00,0.8905
84,85,0.0232,0.5615,1.00,0.8887
85,86,0.0338,0.6364,0.99,0.8942
86,87,0.0282,0.6032,0.99,0.8978
87,88,0.0403,0.6975,0.99,0.8850
88,89,0.0476,0.6349,0.99,0.8668
89,90,0.0414,0.5981,0.99,0.8869
90,91,0.0455,0.6855,0.99,0.8540
91,92,0.0533,0.5297,0.99,0.8887
92,93,0.0356,0.5682,0.99,0.8978
93,94,0.0228,0.6152,1.00,0.8996
94,95,0.0185,0.5837,1.00,0.8978
95,96,0.0199,0.5730,1.00,0.9033
96,97,0.0179,0.6001,1.00,0.8942
97,98,0.0225,0.6377,1.00,0.8942
98,99,0.0224,0.6073,1.00,0.8905
99,100,0.0277,0.6620,0.99,0.8850
